UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10000560,BASINGSTOKE COLLEGE OF TECHNOLOGY,General FE College incl Tertiary,2200,10,4,51,13,21,2120,13,1,31,5,50,1840,15,5,21,20,39
10000561,BASINGSTOKE YOUTH ACTION TRUST LIMITED,Private Sector Public Funded,60,16,0,0,0,84,70,53,0,0,0,47,60,47,21,0,0,32
10000565,BASSETLAW TRAINING AGENCY (PROPERTIES) LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10001465,BATH COLLEGE,General FE College incl Tertiary,1570,4,23,5,8,61,1300,34,14,0,24,29,2770,4,2,61,8,25
10046797,BC ARCH LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,210,60,32,0,0,8
10006600,BCTG LIMITED,Private Sector Public Funded,2680,25,14,22,35,4,2870,4,28,19,26,22,2760,18,21,5,43,13
10019227,BE TOTALLY YOU,Private Sector Public Funded,40,54,0,0,0,46,210,49,6,0,0,45,130,35,14,23,0,27
10045359,BE WISER INSURANCE SERVICES LTD,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,50,0,0,100,0,0
10033608,BEACON EDUCATION PARTNERSHIP LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,150,0,100,0,0,0
10000599,BEAUMONT COLLEGE - A SCOPE COLLEGE,Other Public Funded,90,0,0,0,100,0,100,0,0,0,100,0,110,0,100,0,0,0
10020123,BECKETT CORPORATION LIMITED,Private Sector Public Funded,250,0,54,0,46,0,200,0,56,0,44,0,100,0,47,53,0,0
10000610,BEDFORD COLLEGE,General FE College incl Tertiary,4650,7,1,26,19,47,4450,9,4,49,7,32,2860,2,14,24,22,38
10000612,BEDFORDSHIRE & LUTON EDUCATION BUSINESS PARTNERSHIP,Private Sector Public Funded,30,0,0,0,0,100,40,0,0,100,0,0,40,100,0,0,0,0
10000631,BELLIS TRAINING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,10,0,0,0,0,100,x,x,x,x,x,x
10000654,"BERKSHIRE COLLEGE OF AGRICULTURE, THE (BCA)",Special Colleges,200,10,19,0,0,71,190,0,10,68,12,11,190,14,67,0,19,0
