UKPRN,Provider Name,Learner Category,Completions 13/14 BL,Sustained Positive Destination Rate 13/14 BL,Quintile 13/14 BL,Completions 13/14 All,Sustained Positive Destination Rate 13/14 All,Quintile 13/14 All,Completions 14/15 BL,Sustained Positive Destination Rate 14/15 BL,Quintile 14/15 BL,Completions 14/15 All,Sustained Positive Destination Rate 14/15 All,Quintile 14/15 All,Completions 15/16 BL,Sustained Positive Destination Rate 15/16 BL,Quintile 15/16 BL,Completions 15/16 All,Sustained Positive Destination Rate 15/16 All,Quintile 15/16 All
10039859,ACADEMY TRANSFORMATION TRUST,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,x,x,x,.,.,.,x,x,x,.,.,.,10,91,second quintile
10039859,ACADEMY TRANSFORMATION TRUST,Full Level 2: Education and Training,.,.,.,20,77,second quintile,.,.,.,40,95,top quintile,x,x,x,20,90,top quintile
10039859,ACADEMY TRANSFORMATION TRUST,"Full Level 2: Health, Public Services and Care",x,x,x,x,x,x,x,x,x,20,86,bottom quintile,.,.,.,x,x,x
10039859,ACADEMY TRANSFORMATION TRUST,"Full Level 2: Languages, Literature and Culture",x,x,x,10,77,bottom quintile,x,x,x,20,65,bottom quintile,x,x,x,30,92,top quintile
10039859,ACADEMY TRANSFORMATION TRUST,Full Level 2: Science and Mathematics,x,x,x,40,93,top quintile,x,x,x,40,86,second quintile,.,.,.,30,88,third quintile
10039859,ACADEMY TRANSFORMATION TRUST,English & Maths,50,38,bottom quintile,40,73,second quintile,60,40,bottom quintile,50,78,third quintile,50,37,bottom quintile,50,69,bottom quintile
10039859,ACADEMY TRANSFORMATION TRUST,English for Speakers of Other Languages (ESOL),x,x,x,10,64,second quintile,.,.,.,.,.,.,.,.,.,.,.,.
10039859,ACADEMY TRANSFORMATION TRUST,Other provision below Full Level 2,220,50,second quintile,170,62,bottom quintile,130,55,fourth quintile,20,64,bottom quintile,90,57,fourth quintile,20,42,bottom quintile
10000080,ACCESS TO MUSIC LIMITED,LLDD learner,90,44,third quintile,80,56,bottom quintile,x,x,x,70,71,fourth quintile,x,x,x,50,56,bottom quintile
10000080,ACCESS TO MUSIC LIMITED,"Full Level 3+: Arts, Media and Publishing",40,73,third quintile,150,75,bottom quintile,30,58,bottom quintile,180,75,bottom quintile,10,64,third quintile,150,61,bottom quintile
10000080,ACCESS TO MUSIC LIMITED,"Full Level 2: Arts, Media and Publishing",x,x,x,30,76,second quintile,x,x,x,20,62,bottom quintile,x,x,x,.,.,.
10000080,ACCESS TO MUSIC LIMITED,Traineeships,.,.,.,20,87,top quintile,x,x,x,30,63,second quintile,x,x,x,40,36,bottom quintile
10000080,ACCESS TO MUSIC LIMITED,English & Maths,x,x,x,30,91,top quintile,x,x,x,10,69,bottom quintile,x,x,x,20,88,top quintile
10000080,ACCESS TO MUSIC LIMITED,Other provision below Full Level 2,240,58,top quintile,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,LLDD learner,10,50,fourth quintile,90,86,top quintile,10,67,top quintile,100,85,top quintile,10,36,bottom quintile,100,79,top quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,10,92,second quintile,.,.,.,x,x,x,.,.,.,20,95,fourth quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,Advanced and Higher Apprenticeships: Education and Training,.,.,.,20,100,top quintile,.,.,.,10,92,second quintile,.,.,.,10,100,top quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,30,93,third quintile,.,.,.,60,92,third quintile,.,.,.,30,85,bottom quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,Full Level 3+: Education and Training,.,.,.,x,x,x,x,x,x,10,86,second quintile,x,x,x,x,x,x
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,"Full Level 3+: Health, Public Services and Care",.,.,.,20,93,top quintile,x,x,x,x,x,x,.,.,.,x,x,x
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,"Intermediate Apprenticeships: Business, Administration and Law",.,.,.,10,79,bottom quintile,x,x,x,20,90,second quintile,x,x,x,40,98,top quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,Intermediate Apprenticeships: Education and Training,.,.,.,10,92,second quintile,.,.,.,x,x,x,.,.,.,10,85,bottom quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,x,x,x,30,97,fourth quintile,.,.,.,x,x,x,.,.,.,.,.,.
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,40,91,second quintile,.,.,.,40,97,top quintile,x,x,x,60,96,top quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,English & Maths,x,x,x,40,95,top quintile,x,x,x,20,91,top quintile,x,x,x,10,100,top quintile
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,Other provision below Full Level 2,.,.,.,.,.,.,x,x,x,.,.,.,10,60,top quintile,.,.,.
10009059,ACCESS TRAINING LIMITED,LLDD learner,100,38,bottom quintile,30,84,top quintile,90,36,bottom quintile,30,41,bottom quintile,90,41,second quintile,50,87,top quintile
10009059,ACCESS TRAINING LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",x,x,x,110,96,top quintile,x,x,x,70,93,second quintile,x,x,x,70,97,top quintile
10009059,ACCESS TRAINING LIMITED,Advanced and Higher Apprenticeships: Education and Training,.,.,.,10,85,bottom quintile,.,.,.,x,x,x,.,.,.,x,x,x
10009059,ACCESS TRAINING LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",x,x,x,70,93,third quintile,x,x,x,30,93,third quintile,.,.,.,80,93,fourth quintile
10009059,ACCESS TRAINING LIMITED,"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",.,.,.,x,x,x,.,.,.,x,x,x,.,.,.,10,80,second quintile
10009059,ACCESS TRAINING LIMITED,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,x,x,x,x,x,x,x,x,x,.,.,.,10,91,third quintile
10009059,ACCESS TRAINING LIMITED,"Full Level 3+: Health, Public Services and Care",.,.,.,x,x,x,.,.,.,20,94,top quintile,x,x,x,x,x,x
10009059,ACCESS TRAINING LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,90,94,third quintile,x,x,x,60,97,top quintile,x,x,x,80,95,top quintile
10009059,ACCESS TRAINING LIMITED,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,10,100,top quintile,x,x,x,10,100,top quintile,x,x,x,20,80,bottom quintile
10009059,ACCESS TRAINING LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,40,95,top quintile,.,.,.,x,x,x,x,x,x,40,95,top quintile
10009059,ACCESS TRAINING LIMITED,Intermediate Apprenticeships: Retail and Commercial Enterprise,x,x,x,20,96,top quintile,x,x,x,20,88,second quintile,x,x,x,30,85,second quintile
